date,trend_1,trend_2,trend_3,trend_4,trend_5
2023-04-15 18:14:59.216020,Chelsea vs Brighton,Man City vs Leicester City,Aston Villa vs Newcastle,Roman Reigns,Arvind Kejriwal
2023-04-16 18:14:52.799410,GT vs RR,News,PSG vs Lens,Getafe vs Barcelona,C%C3%A1diz vs Real Madrid
2023-04-17 18:16:38.921108,Infosys Share Price,Chennai Super Kings,MS Dhoni,HDFC Bank share price,Mammootty
2023-04-18 18:16:46.396448,MI vs SRH,Leeds United vs Liverpool,Tilak Varma,BTEUP result 2023,Timothee Chalamet
2023-04-19 18:16:57.404511,LSG vs RR,Al Nassr,Napoli vs Milan,Most populated country,Sawai Mansingh Stadium pitch report
2023-04-20 18:16:02.544564,DC vs KKR,Eid-Ul-Fitr 2023,Bayern vs Man City,Yash Chopra,Orange cap in IPL 2023
2023-04-21 18:16:10.664869,Kisi Ka Bhai Kisi Ki Jaan,Sevilla vs Man United,Ramadan 2023,Virupaksha Movie Review,Evil Dead
2023-04-22 18:15:20.182440,Eid Mubarak,GT vs LSG,PBKS vs MI,Premier League,Angers vs PSG
2023-04-23 18:15:08.972064,Amritpal Singh,Newcastle vs Tottenham,Real Madrid vs Celta Vigo,Barcelona vs atl%C3%A9tico Madrid,Yuzvendra Chahal
2023-04-24 18:16:28.369682,DC vs SRH,UP Board Result 2023,Pakistan vs New Zealand,Tarek Fatah,MS Dhoni
2023-04-25 18:16:09.432815,Arijit Singh,Parkash Singh Badal,Al Nassr,DRDO,Hardik pandya
2023-04-26 18:16:16.703021,KKR vs RCB,Mamukoya,VIT,Shahbaz Ahmed,Vivo X90
2023-04-27 18:15:55.713216,Chelsea vs Brentford,Barcelona,Chelsea,Ruturaj Gaikwad,Operation Kaveri
2023-04-28 18:15:20.920594,LSG vs PBKS,Ponniyin Selvan 2,Citadel,Tottenham vs Man United,PSEB 8th class result 2023
2023-04-30 18:14:37.354619,Alan Rickman,NEET admit card 2023,Jaiswal,PSG vs Lorient,Barcelona vs Real Betis
2023-05-01 18:15:47.393817,RCB vs LSG,Ponniyin Selvan,Jock Zonfrillo,Sandeep Sharma,Suryakumar Yadav
2023-05-02 18:15:50.694627,DC vs GT,Sharad Pawar,GUJCET Result 2023,Leicester City vs Everton,Brain
2023-05-03 18:15:48.968290,PBKS vs MI,Pakistan vs New Zealand,Manobala,Arsenal vs Chelsea,Ayush Badoni
2023-05-04 18:15:55.540352,KKR vs SRH,Man City vs West Ham,Anil Dujana,Liverpool vs Fulham,10th Result 2023 Date
2023-05-05 18:15:37.046936,RR vs GT,The Kerala Story,Pakistan vs New Zealand,Brighton vs Man United,10th Results 2023
2023-05-06 18:15:17.890575,Matheesha Pathirana,Man City vs Leeds United,Shubman Gill,Coronation,Bournemouth vs Chelsea
2023-05-07 18:14:51.052873,GT vs LSG,NEET 2023 answer key,Titans vs Super Giants,ONDC,Newcastle vs Arsenal
2023-05-08 18:15:46.306995,PBKS Vs KKR,Mother's Day,Troyes vs PSG,TN 12th Result 2023,PAK vs NZ
2023-05-09 18:16:14.937646,Bangladesh vs Ireland,Champions League,AP EAMCET hall ticket download 2023,Chris Jordan,Poco F5
2023-05-11 18:15:36.178118,Fastest fifty in IPL,Bard,Pixel 7a,Fastest 50 in IPL history,MS Dhoni
2023-05-12 18:15:23.903234,10th Class Result 2023 check online,Mother's Day,Vishnu Vinod,MP Board 12th Result 2023,Juventus vs Sevilla
2023-05-13 18:14:57.592522,Mi vs gt,SRH vs LSG,PBKS vs DC,Parineeti Chopra Engagement,Happy Mother's Day
2023-05-14 18:14:10.193901,PSG vs Ajaccio,CUET,Everton vs Man City,PSG,Real Madrid vs Getafe
2023-05-15 18:16:01.272911,MP Board Result 2023,GT vs SRH,MP Board 10th Result 2023,Bhuvneshwar Kumar,Man City
2023-05-16 18:15:41.194186,Leicester City vs Liverpool,Krunal Pandya,Brock Lesnar,Vicky Kaushal,Bayern Munich
2023-05-17 18:15:34.415561,DC vs PBKS,Al Nassr,Tim David,Narendra Modi,Ant-Man
2023-05-18 18:15:46.548285,BSE Odisha Result 2023,Fast X reviews,Arjun Ram Meghwal,Siddaramaiah,SBI share price
2023-05-19 18:15:31.693201,PBKS vs RR,2000 Note,BGMI,TN 10th Result,Pichaikkaran 2 Review
2023-05-20 18:14:30.073730,CSK vs DC,LSG vs KKR,JAC 10th result 2023,Agniveer Result 2023,Polycet results 2023
2023-05-21 18:14:50.194076,RCB vs GT,Barcelona vs Real Sociedad,Man City vs Chelsea,Papua New Guinea,Bundesliga
2023-05-22 18:15:47.083339,Orange Cap in IPL 2023,HSLC Result 2023,Aditya Singh Rajput,Actor Sarath Babu,Battlegrounds Mobile India
2023-05-23 18:15:25.971057,CSK vs GT,JAC 10th Result 2023,Ray Stevenson,Motorola Edge 40,IPL Cricket
2023-05-24 18:15:45.373924,HS Result 2023,Vaibhavi Upadhyaya,PSEB 12th Result 2023,12th HSC Result 2023,Vishu Bumper 2023 result
2023-05-25 18:15:40.400118,MP Board 10th Result 2023,GSEB 10th Result link,Ashish Vidyarthi,Plus Two Result 2023,Plus Two Result 2023 school wise
2023-05-26 18:15:26.326477,Gill,Man United vs Chelsea,WBJEE Result 2023,Germany,POLYCET Results 2023
2023-05-27 18:14:28.805176,IPL Final 2023,Live Score,HS Result 2023,Shubman Gill IPL 2023 runs,WTC Final
2023-05-28 18:14:20.936753,New Parliament building,PSG,Al Nassr,Man United vs Fulham,French Open
2023-05-29 18:15:22.030190,SSC Result 2023 Maharashtra Board,Sidhu Moose Wala,JEE Advanced Admit Card,Manipur,Memorial Day
2023-05-30 18:15:37.697317,Rivaba Jadeja,Rashid Khan,IPL Winners List,JAC 12th Result 2023 Arts,Ganga Dussehra 2023
2023-05-31 18:15:48.593220,Orissaresults.nic.in 2023,Al Pacino,Brij Bhushan Sharan Singh,World No Tobacco Day,Mahesh Babu
2023-06-01 18:16:34.397735,Europa League,Asur Season 2,ENG vs IRE,Al Nassr,US debt ceiling news
2023-06-02 18:15:15.044296,Coromandel Express,Dwayne Johnson,Roman Reigns,Zara Hatke Zara Bachke Review,AR Rahman
2023-06-03 18:14:37.279557,News Today,Nepal PM Pushpa Kamal Dahal,Novak Djokovic,David Warner,World Bicycle Day
